       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     28/01/2021       12:20:18         46.018         62.848          3.931
     28/01/2021       12:20:39         68.196         49.988          4.194
     28/01/2021       12:21:01         56.716         37.594          8.281
     28/01/2021       12:21:23         58.519         44.021          3.966
     28/01/2021       12:21:44         40.227         42.333         24.777
     28/01/2021       12:22:07         48.409         34.225         12.164
     28/01/2021       12:22:30         73.798         99.626          9.272
     28/01/2021       12:22:52         76.709        115.234          3.961
     28/01/2021       12:23:13         77.065         93.602          4.454
     28/01/2021       12:23:35         91.766        100.998          4.237
     28/01/2021       12:23:56         88.466        119.552          4.435
     28/01/2021       12:24:18         77.313        114.246          4.247
     28/01/2021       12:24:39         49.015         123.53          3.664
     28/01/2021       12:25:00         76.888         90.323           4.23
     28/01/2021       12:25:22         76.593        107.324          3.733
     28/01/2021       12:25:43         73.373         54.536           3.94
     28/01/2021       12:26:05         76.132        118.995          4.036
     28/01/2021       12:26:26         86.967        101.287          4.628
     28/01/2021       12:26:48         82.221        114.673          4.018
     28/01/2021       12:27:09          64.82         87.237          3.984
     28/01/2021       12:27:31          62.72          93.12          3.978
     28/01/2021       12:27:52         71.727        102.541          3.717
     28/01/2021       12:28:13         71.808         92.014          3.934
     28/01/2021       12:28:35         82.845        104.637          4.143
     28/01/2021       12:28:56         66.845        114.485          4.602
     28/01/2021       12:29:18         74.385        102.461           4.42
     28/01/2021       12:29:39          89.33         98.523          3.563
     28/01/2021       12:30:00         60.376         90.765          5.965
     28/01/2021       12:30:22         66.198        110.706          3.841
     28/01/2021       12:30:43         82.262        109.539          4.617
     28/01/2021       12:31:05         88.783        111.455          3.955
     28/01/2021       12:31:26         49.979         88.588          4.439
     28/01/2021       12:31:48         56.674         72.552          4.477
     28/01/2021       12:32:09         57.653         72.893          7.003
     28/01/2021       12:32:31         38.474         75.836          5.976
     28/01/2021       12:32:53         72.441        119.184          3.993
     28/01/2021       12:33:14         95.369        115.511          4.013
     28/01/2021       12:33:36          99.29        106.766          4.044
     28/01/2021       12:33:57         86.872         68.535          3.839
     28/01/2021       12:34:19         85.429        126.747          8.554
     28/01/2021       12:34:40         85.764        113.871          4.246
     28/01/2021       12:35:02         84.574        103.248          4.566
     28/01/2021       12:35:23         61.956         86.646          5.562
     28/01/2021       12:35:45         91.069        111.694          3.771
     28/01/2021       12:36:06         80.592         83.296           4.18
     28/01/2021       12:36:28         98.664         99.929          4.221
     28/01/2021       12:36:49         82.558        110.486          3.905
     28/01/2021       12:37:10         61.332        109.226          4.142
     28/01/2021       12:37:32         84.486          0.222           4.44
