       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     27/01/2021       22:19:57        121.101        165.229          3.039
     27/01/2021       22:20:16        118.681        158.938          5.382
     27/01/2021       22:20:34        118.252        160.788          3.592
     27/01/2021       22:20:53        119.819        160.176          3.109
     27/01/2021       22:21:12        115.051        161.639           4.81
     27/01/2021       22:21:30         115.18        160.562          3.153
     27/01/2021       22:21:49        122.803        168.689          3.052
     27/01/2021       22:22:07          118.8        162.717          3.302
     27/01/2021       22:22:26        122.157        172.784          2.947
     27/01/2021       22:22:44        123.153         167.11          3.524
     27/01/2021       22:23:02         115.34         162.74          3.263
     27/01/2021       22:23:21        119.655        162.742          3.286
     27/01/2021       22:23:39         121.73        157.402          2.858
     27/01/2021       22:23:58        119.208        173.673          3.256
     27/01/2021       22:24:16        118.238        158.235          3.949
     27/01/2021       22:24:35         119.81        165.936          3.094
     27/01/2021       22:24:53        122.795        164.028          3.099
     27/01/2021       22:25:12        122.925        164.779          3.108
     27/01/2021       22:25:30        118.231         166.63          3.531
     27/01/2021       22:25:48        120.365        166.787          2.939
     27/01/2021       22:26:07          120.9        171.879          2.858
     27/01/2021       22:26:25        121.591        168.934          3.057
     27/01/2021       22:26:43        115.622        162.076          3.259
     27/01/2021       22:27:01        123.967         167.47          3.223
     27/01/2021       22:27:20        120.346        170.798          3.791
     27/01/2021       22:27:38         125.28        172.515          2.935
     27/01/2021       22:27:56        122.728         164.16          4.128
     27/01/2021       22:28:15        122.754        169.878          3.097
     27/01/2021       22:28:33        123.317        169.577          3.024
     27/01/2021       22:28:51        122.423        168.495          3.109
     27/01/2021       22:29:09        121.488         162.46          3.316
     27/01/2021       22:29:28        120.638        168.996          3.379
     27/01/2021       22:29:46        122.561        170.702          3.117
     27/01/2021       22:30:04        117.595        164.575          3.712
     27/01/2021       22:30:23         122.65        174.122          3.024
     27/01/2021       22:30:41        117.557        162.627          3.161
     27/01/2021       22:30:59        121.611        166.065          3.394
     27/01/2021       22:31:18        120.763        167.054          3.239
     27/01/2021       22:31:36        122.529        168.218          3.108
     27/01/2021       22:31:54        119.245        173.626          3.379
     27/01/2021       22:32:12        118.637        167.357          3.401
     27/01/2021       22:32:30        119.912        172.915          2.893
     27/01/2021       22:32:49        117.123        165.036          3.209
     27/01/2021       22:33:07        119.846        167.113          2.988
     27/01/2021       22:33:25        115.517        165.502            3.2
     27/01/2021       22:33:44        119.331        162.043           3.03
     27/01/2021       22:34:02        113.644         166.46          3.323
     27/01/2021       22:34:21        117.478        161.145          3.456
     27/01/2021       22:34:39        121.593        164.473          2.729
     27/01/2021       22:34:58        120.397        164.044           3.15
     27/01/2021       22:35:16         118.27        163.931          3.239
     27/01/2021       22:35:35        115.467        168.134          2.959
     27/01/2021       22:35:53        118.812        160.648          3.396
     27/01/2021       22:36:11        120.946        164.562          3.157
     27/01/2021       22:36:30        116.608        159.441          3.357
     27/01/2021       22:36:49        115.739        160.615          5.143
     27/01/2021       22:37:07        121.127        159.422          3.187
     27/01/2021       22:37:26        117.913        164.717          3.256
     27/01/2021       22:37:44        113.492        161.399          5.652
     27/01/2021       22:38:03        113.907        163.461          3.408
     27/01/2021       22:38:22        123.069        162.739          3.019
     27/01/2021       22:38:40        115.407        159.418           3.24
     27/01/2021       22:38:59        117.697        168.242          2.914
     27/01/2021       22:39:17        114.241         161.69          3.554
     27/01/2021       22:39:36        117.282        159.472          3.176
     27/01/2021       22:39:54         120.62        173.431          3.197
     27/01/2021       22:40:13        117.998        160.464          4.043
